"","can_id","can_nam","spe_id","spe_nam","ele_typ","can_off_sta","can_off_dis","can_off","can_par_aff","exp_amo","exp_dat","agg_amo","sup_opp","pur","pay","file_num","amn_ind","tra_id","ima_num","rec_dat","prev_file_num"
"1"," ","CARSON","C00569905","2016 COMMITTEE; THE","P"," ",0,"P"," ","$4,000.00"," ",54300,"Support","Skywalk Panels with Brochure Distribution","Media USA",1031735,"N","WFT2015104917-1",201511049003281664,"2015-11-04",NA
"2","P60008398","JINDAL","C90015439","AMERICA NEXT INC","P","IA",0,"P","Rep","$3,725.00","07/14/2015",3725,"Support","Television Ad Placement","OnMessage Inc.",1020434,"A1","F57.000001",201508059000801952,"2015-08-05",1016536
"3","P60008398","JINDAL","C90015439","AMERICA NEXT INC","P","IA",0,"P","Rep","$324,795.00","07/15/2015",328520,"Support","Television Ad Placement","OnMessage Inc.",1020434,"A1","F57.000002",201508059000801952,"2015-08-05",1016536
"4","P60008398","JINDAL","C90015439","AMERICA NEXT INC","P","IA",0,"P","Rep","$12,016.86","07/15/2015",0,"Support","Television Ad Production","OnMessage Inc.",1020434,"A1","F57.000003",201508059000801952,"2015-08-05",1016536
"5"," ","STRICKLAND","C90013285","AMERICANS FOR PROSPERITY","G","OH",0,"S"," ","$114,983.98","08/20/2015",154267.52,"Oppose","digital placement (Bruce's Story)","i360",1022915,"N","F57.000002",201508209000923200,"2015-08-20",NA
"6"," ","STRICKLAND","C90013285","AMERICANS FOR PROSPERITY","G","OH",0,"S"," ","$1,342,200.00","08/18/2015",1496467.52,"Oppose","tv placement (Bruce's Story)","i360",1022915,"N","F57.000003",201508209000923200,"2015-08-20",NA
"7"," ","STRICKLAND","C90013285","AMERICANS FOR PROSPERITY","G","OH",0,"S"," ","$54,421.02","08/18/2015",1550888.54,"Oppose","digital placement (Bruce's Story)","Facebook",1022915,"N","F57.000004",201508209000923200,"2015-08-20",NA
"8"," ","STRICKLAND","C90013285","AMERICANS FOR PROSPERITY","G","OH",0,"S"," ","$39,283.54","08/18/2015",39283.54,"Oppose","creation & production of tv/digital ad (Bruce's Story)","Sandler-Innocenzi",1022915,"N","F57.000001",201508209000923200,"2015-08-20",NA
"9","P00003392","CLINTON","C00542902","AMERICARISINGPAC.ORG","P","NV",0,"P","Dem","$9,500.00","10/13/2015",0,"Oppose","DIGITAL PRODUCTION","POOLHOUSE",1028277,"N","SE.8778",201510149002868000,"2015-10-14",NA
"10","P00003392","CLINTON","C00542902","AMERICARISINGPAC.ORG","P"," ",0,"P","Dem","$16,250.00","08/27/2015",28651.1,"Oppose","DIGITAL ADVERTISING","WERPOLITICS",1023539,"N","SE.8768",201508279001584992,"2015-08-27",NA
"11","P00003392","CLINTON","C00542902","AMERICARISINGPAC.ORG","P","NV",0,"P","Dem","$1,000.00","10/13/2015",0,"Oppose","DIGITAL ADVERTISING","TARGETED VICTORY",1028277,"N","SE.8780",201510149002868000,"2015-10-14",NA
"12","P00003392","CLINTON","C00542902","AMERICARISINGPAC.ORG","P"," ",0,"P","Dem","$2,000.00","08/14/2015",0,"Oppose","ONLINE ADVERTISING","TARGETED VICTORY",1021643,"N","SE.8765",201508169000830432,"2015-08-16",NA
"13","P60008521","CHRISTIE","C00573055","America Leads","P"," ",0,"P","Rep","$741,030.00","07/24/2015",751381.64,"Support","Media Placement - Cable (National)","Pinpoint Media LLC",1018436,"N","SE.4644",201507289000437216,"2015-07-28",NA
"14","P60008521","CHRISTIE","C00573055","America Leads","P","NH",0,"P","Rep","$358,035.00","07/21/2015",822670,"Support","Media Placement - TV/Cable","Pinpoint Media LLC",1020255,"A1","SE.4643",201508039000776480,"2015-08-03",1018436
"15","P60008521","CHRISTIE","C00573055","America Leads","P"," ",0,"P","Rep","$810.11"," ",6399.05,"Support","Digital Advertising - Twitter/Facebook","The Prosper Group Corporation",1020255,"A1","SE.4691",201508039000776480,"2015-08-03",1018436
"16","P60008521","CHRISTIE","C00573055","America Leads","P"," ",0,"P","Rep","$822.68"," ",4674.32,"Support","Digital Advertising - Twitter/Facebook","The Prosper Group Corporation",1020255,"A1","SE.4689",201508039000776480,"2015-08-03",1018436
"17","P60008521","CHRISTIE","C00573055","America Leads","P"," ",0,"P","Rep","$914.62"," ",5588.94,"Support","Digital Advertising - Twitter/Facebook","The Prosper Group Corporation",1020255,"A1","SE.4690",201508039000776480,"2015-08-03",1018436
"18","P60008521","CHRISTIE","C00573055","America Leads","P"," ",0,"P","Rep","$741,030.00","07/24/2015",755770.84,"Support","Media Placement - Cable (National)","Pinpoint Media LLC",1020255,"A1","SE.4644",201508039000776480,"2015-08-03",1018436
"19","P60008521","CHRISTIE","C00573055","America Leads","P","NH",0,"P","Rep","$267,547.50","07/28/2015",1090217.5,"Support","Media Placement - TV/Cable","Pinpoint Media LLC",1020256,"N","SE.4677",201508039000776480,"2015-08-03",NA
"20","P60008521","CHRISTIE","C00573055","America Leads","P"," ",0,"P","Rep","$8.51"," ",8196.15,"Support","Digital Advertising - Twitter/Facebook","The Prosper Group Corporation",1020256,"N","SE.4703",201508039000776512,"2015-08-03",NA
"21","P60008521","CHRISTIE","C00573055","America Leads","P"," ",0,"P","Rep","$22.17"," ",8240.84,"Support","Digital Advertising - Facebook","The Prosper Group Corporation",1020256,"N","SE.4705",201508039000776512,"2015-08-03",NA
"22","P60008521","CHRISTIE","C00573055","America Leads","P"," ",0,"P","Rep","$22.52"," ",8218.67,"Support","Digital Advertising - Facebook","The Prosper Group Corporation",1020256,"N","SE.4704",201508039000776512,"2015-08-03",NA
"23","P60008521","CHRISTIE","C00573055","America Leads","P"," ",0,"P","Rep","$194.31"," ",8187.64,"Support","Digital Advertising - Twitter/Facebook","The Prosper Group Corporation",1020256,"N","SE.4699",201508039000776512,"2015-08-03",NA
"24","P60008521","CHRISTIE","C00573055","America Leads","P"," ",0,"P","Rep","$782.50"," ",7993.33,"Support","Digital Advertising - Twitter/Facebook","The Prosper Group Corporation",1020256,"N","SE.4698",201508039000776512,"2015-08-03",NA
"25","P60008521","CHRISTIE","C00573055","America Leads","P"," ",0,"P","Rep","$811.78"," ",7210.83,"Support","Digital Advertising - Twitter/Facebook","The Prosper Group Corporation",1020256,"N","SE.4697",201508039000776512,"2015-08-03",NA
"26","P60008521","CHRISTIE","C00573055","America Leads","P"," ",0,"P","Rep","$285,030.00","07/31/2015",1040800.84,"Support","Media Placement - Cable (National)","Pinpoint Media LLC",1020256,"N","SE.4678",201508039000776480,"2015-08-03",NA
"27","P60008521","CHRISTIE","C00573055","America Leads","P","NH",0,"P","Rep","$740,172.50","09/09/2015",2501257.5,"Support","Media Buy - TV/Cable","Pinpoint Media LLC",1024956,"N","SE.4783",201509169002679264,"2015-09-16",NA
"28","P60008521","CHRISTIE","C00573055","America Leads","P"," ",0,"P","Rep","$483.22"," ",24296.36,"Support","Digital Advertising - Facebook/Google","The Prosper Group Corporation",1024956,"N","SE.4984",201509169002679264,"2015-09-16",NA
"29","P60008521","CHRISTIE","C00573055","America Leads","P"," ",0,"P","Rep","$546.93"," ",23256.7,"Support","Digital Advertising - Facebook/Google","The Prosper Group Corporation",1024956,"N","SE.4982",201509169002679264,"2015-09-16",NA
"30","P60008521","CHRISTIE","C00573055","America Leads","P"," ",0,"P","Rep","$556.44"," ",23813.14,"Support","Digital Advertising - Facebook/Google","The Prosper Group Corporation",1024956,"N","SE.4983",201509169002679264,"2015-09-16",NA
"31","P60008521","CHRISTIE","C00573055","America Leads","P"," ",0,"P","Rep","$727.98"," ",22709.77,"Support","Digital Advertising - Facebook/Google/Twitter","The Prosper Group Corporation",1024956,"N","SE.4981",201509169002679264,"2015-09-16",NA
"32","P60008521","CHRISTIE","C00573055","America Leads","P"," ",0,"P","Rep","$749.65"," ",21981.79,"Support","Digital Advertising - Facebook/Google/Twitter","The Prosper Group Corporation",1024956,"N","SE.4980",201509169002679264,"2015-09-16",NA
