"","Pollster","Start.Date","End.Date","Entry.Date.Time..ET.","Number.of.Observations","Population","Mode","Trump","Carson","Cruz","Rubio","Bush","Christie","Fiorina","Rand.Paul","Kasich","Huckabee","Jindal","Santorum","Graham","Pataki","Gilmore","Perry","Walker","Undecided","Pollster.URL","Source.URL","Partisan","Affiliation","polled_party","voter","date_time","compare_date"
"1","Ipsos/Reuters","2015-11-28","2015-12-02","2015-12-03 2000-01-01 17:32:37 UTC",385,"Adults - Republican","Internet",36,17,10,7,11,2,2,4,2,2,NA,1,0,0,0,NA,NA,5,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23252","http://www.ipsos-na.com/download/pr.aspx?id=15124","Nonpartisan","None","Republican","Adults","2015-12-03 17:32:37","1449192757"
"2","CNN","2015-11-27","2015-12-01","2015-12-04 2000-01-01 12:16:32 UTC",445,"Registered Voters - Republican","Live Phone",36,14,16,12,3,4,3,1,2,2,0,0,0,0,0,NA,NA,6,"http://elections.huffingtonpost.com/pollster/polls/cnn-23258","http://i2.cdn.turner.com/cnn/2015/images/12/04/cnnorc12042015gopprimarypoll.pdf","Nonpartisan","None","Republican","Registered Voters","2015-12-04 12:16:32","1449260192"
"3","Quinnipiac","2015-11-23","2015-11-30","2015-12-02 2000-01-01 12:04:16 UTC",672,"Registered Voters - Republican","Live Phone",27,16,16,17,5,2,3,2,2,1,NA,0,0,0,0,NA,NA,9,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-23247","http://www.quinnipiac.edu/news-and-events/quinnipiac-university-poll/national/release-detail?ReleaseID=2307","Nonpartisan","None","Republican","Registered Voters","2015-12-02 12:04:16","1449086656"
"4","Ipsos/Reuters","2015-11-21","2015-11-25","2015-11-25 2000-01-01 20:56:33 UTC",352,"Adults - Republican","Internet",37,9,11,10,6,4,3,2,3,3,NA,0,0,2,3,NA,NA,6,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23238","http://big.assets.huffingtonpost.com/2015ReutersTrackingCorePolitical112515.pdf","Nonpartisan","None","Republican","Adults","2015-11-25 20:56:33","1448513793"
"5","Gravis Marketing/One America News","2015-11-23","2015-11-23","2015-11-25 2000-01-01 15:31:26 UTC",523,"Likely Voters - Republican","Automated Phone",37,15,12,14,8,2,2,3,4,2,NA,1,2,NA,NA,NA,NA,NA,"http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-one-america-news-23235","http://www.oann.com/pollnational/","Sponsor","Rep","Republican","Likely Voters","2015-11-25 15:31:26","1448494286"
"6","YouGov/Economist","2015-11-19","2015-11-23","2015-11-25 2000-01-01 14:14:12 UTC",600,"Likely Voters - Republican","Internet",36,10,12,14,6,3,4,4,4,2,NA,0,1,0,0,NA,NA,3,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-23233","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/o77ie8jgv3/econTabReport.pdf","Nonpartisan","None","Republican","Likely Voters","2015-11-25 14:14:12","1448489652"
"7","ABC/Post","2015-11-16","2015-11-19","2015-11-22 2000-01-01 15:00:37 UTC",373,"Registered Voters - Republican","Live Phone",32,22,8,11,6,2,4,3,3,3,NA,1,1,NA,NA,NA,NA,5,"http://elections.huffingtonpost.com/pollster/polls/abc-post-23205","http://apps.washingtonpost.com/g/page/politics/washington-post-abc-news-poll-nov-15-19-2015/1880/","Nonpartisan","None","Republican","Registered Voters","2015-11-22 15:00:37","1448233237"
"8","FOX","2015-11-16","2015-11-19","2015-11-22 2000-01-01 15:14:04 UTC",434,"Likely Voters - Republican","Live Phone",28,18,14,14,5,3,3,2,2,3,NA,NA,NA,1,NA,NA,NA,5,"http://elections.huffingtonpost.com/pollster/polls/fox-23207","http://www.foxnews.com/politics/interactive/2015/11/20/fox-news-poll-2016-matchups-syrian-refugees/","Nonpartisan","None","Republican","Likely Voters","2015-11-22 15:14:04","1448234044"
"9","Ipsos/Reuters","2015-11-14","2015-11-18","2015-11-19 2000-01-01 18:29:31 UTC",1299,"Adults - Republican","Internet",37,14,8,11,6,3,3,5,2,3,1,1,0,0,0,NA,NA,6,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23182","http://ipsos-na.com/download/pr.aspx?id=15090","Nonpartisan","None","Republican","Adults","2015-11-19 18:29:31","1447986571"
"10","PPP (D)","2015-11-16","2015-11-17","2015-11-19 2000-01-01 15:02:32 UTC",607,"Likely Voters - Republican","IVR/Online",26,19,14,13,5,3,4,2,3,4,0,0,1,1,0,NA,NA,2,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-23174","http://www.publicpolicypolling.com/pdf/2015/PPP_Release_National_111915.pdf","Pollster","Dem","Republican","Likely Voters","2015-11-19 15:02:32","1447974152"
"11","Bloomberg/Selzer","2015-11-15","2015-11-17","2015-11-19 2000-01-01 17:27:19 UTC",379,"Registered Voters - Republican","Live Phone",24,20,9,12,6,4,3,3,3,3,NA,1,1,1,NA,NA,NA,12,"http://elections.huffingtonpost.com/pollster/polls/bloomberg-selzer-23179","http://www.scribd.com/doc/290373723/Bloomberg-Politics-National-Poll-GOP-Nov-19-2015","Nonpartisan","None","Republican","Registered Voters","2015-11-19 17:27:19","1447982839"
"12","NBC/SurveyMonkey","2015-11-15","2015-11-17","2015-11-20 2000-01-01 14:12:40 UTC",2440,"Registered Voters - Republican","Internet",28,18,18,11,4,3,3,2,2,2,1,1,0,0,0,NA,NA,6,"http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-23195","http://www.nbcnews.com/politics/2016-election/poll-trump-retakes-lead-gop-race-cruz-makes-gains-n466651","Nonpartisan","None","Republican","Registered Voters","2015-11-20 14:12:40","1448057560"
"13","Morning Consult","2015-11-13","2015-11-16","2015-11-17 2000-01-01 15:45:58 UTC",774,"Registered Voters - Republican","Internet",38,19,7,7,6,2,3,2,1,3,0,0,1,0,NA,NA,NA,9,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-23158","http://morningconsult.com/wp-content/uploads/2015/11/MC-Tracking-Poll-Toplines-November-13-16-2015.pdf","Nonpartisan","None","Republican","Registered Voters","2015-11-17 15:45:58","1447803958"
"14","Rasmussen","2015-11-11","2015-11-12","2015-11-13 2000-01-01 17:55:34 UTC",572,"Likely Voters - Republican","Automated Phone",27,20,13,16,8,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"http://elections.huffingtonpost.com/pollster/polls/rasmussen-23134","http://www.rasmussenreports.com/public_content/politics/elections/election_2016/here_s_how_the_gop_race_looks_now","Nonpartisan","None","Republican","Likely Voters","2015-11-13 17:55:34","1447466134"
"15","Ipsos/Reuters","2015-11-07","2015-11-11","2015-11-17 2000-01-01 21:36:06 UTC",555,"Adults - Republican","Internet",33,17,10,10,6,1,5,3,1,4,1,2,1,0,0,NA,NA,5,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23166","http://www.ipsos-na.com/download/pr.aspx?id=15085","Nonpartisan","None","Republican","Adults","2015-11-17 21:36:06","1447824966"
"16","Public Religion Research Institute","2015-11-06","2015-11-10","2015-11-23 2000-01-01 16:21:55 UTC",147,"Likely Voters - Republican","Live Phone",20,27,10,9,8,3,2,0,3,6,NA,NA,NA,NA,NA,NA,NA,12,"http://elections.huffingtonpost.com/pollster/polls/public-religion-research-institute-23214","http://big.assets.huffingtonpost.com/AVS-2015-Election-Supplement-Topline.pdf","Nonpartisan","None","Republican","Likely Voters","2015-11-23 16:21:55","1448324515"
"17","YouGov/Economist","2015-11-05","2015-11-09","2015-11-10 2000-01-01 19:09:31 UTC",446,"Registered Voters - Republican","Internet",32,18,10,13,3,3,3,4,4,4,2,1,1,0,1,NA,NA,NA,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-23108","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/1hhz66took/econToplines.pdf","Nonpartisan","None","Republican","Registered Voters","2015-11-10 19:09:31","1447211371"
"18","Morning Consult","2015-11-05","2015-11-08","2015-11-10 2000-01-01 17:55:28 UTC",1567,"Registered Voters - Republican","Internet",34,19,7,7,8,2,2,2,1,3,1,1,0,0,NA,NA,NA,11,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-23107","http://big.assets.huffingtonpost.com/151102toplinesmorningconsult.pdf","Nonpartisan","None","Republican","Registered Voters","2015-11-10 17:55:28","1447206928"
"19","Ipsos/Reuters","2015-10-31","2015-11-04","2015-11-05 2000-01-01 18:36:49 UTC",618,"Adults - Republican","Internet",29,19,8,10,10,3,5,2,2,3,1,0,1,1,0,NA,NA,5,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23076","http://www.ipsos-na.com/download/pr.aspx?id=15026","Nonpartisan","None","Republican","Adults","2015-11-05 18:36:49","1446777409"
"20","McClatchy/Marist","2015-10-29","2015-11-04","2015-11-09 2000-01-01 19:15:11 UTC",431,"Registered Voters - Republican","Live Phone",23,24,8,12,8,2,3,5,4,3,1,1,0,1,0,NA,NA,4,"http://elections.huffingtonpost.com/pollster/polls/mcclatchy-marist-23088","http://www.mcclatchydc.com/news/politics-government/election/article43727049.ece/BINARY/Poll%20details","Nonpartisan","None","Republican","Registered Voters","2015-11-09 19:15:11","1447125311"
