can_id,can_nam,spe_id,spe_nam,ele_typ,can_off_sta,can_off_dis,can_off,can_par_aff,exp_amo,exp_dat,agg_amo,sup_opp,pur,pay,file_num,amn_ind,tra_id,ima_num,rec_dat,prev_file_num
 ,"Carson, Ben",C00569905,2016 COMMITTEE; THE,P, ,00,P, ,"$4,000.00", ,"$54,300.00",Support,Skywalk Panels with Brochure Distribution,Media USA,1031735,N,WFT2015104917-1,201511049003281663,11/04/2015, 
P60008398,"Jindal, Bobby",C90015439,AMERICA NEXT INC,P,IA,00,P,Rep,"$3,725.00",07/14/2015,"$3,725.00",Support,Television Ad Placement,OnMessage Inc.,1020434,A1,F57.000001,201508059000801949,08/05/2015,1016536
P60008398,"Jindal, Bobby",C90015439,AMERICA NEXT INC,P,IA,00,P,Rep,"$324,795.00",07/15/2015,"$328,520.00",Support,Television Ad Placement,OnMessage Inc.,1020434,A1,F57.000002,201508059000801949,08/05/2015,1016536
P60008398,"Jindal, Bobby",C90015439,AMERICA NEXT INC,P,IA,00,P,Rep,"$12,016.86",07/15/2015,"$0.00",Support,Television Ad Production,OnMessage Inc.,1020434,A1,F57.000003,201508059000801949,08/05/2015,1016536
 ,"Strickland, Ted",C90013285,AMERICANS FOR PROSPERITY,G,OH,00,S, ,"$114,983.98",08/20/2015,"$154,267.52",Oppose,digital placement (Bruce's Story),i360,1022915,N,F57.000002,201508209000923189,08/20/2015, 
 ,"Strickland, Ted",C90013285,AMERICANS FOR PROSPERITY,G,OH,00,S, ,"$1,342,200.00",08/18/2015,"$1,496,467.52",Oppose,tv placement (Bruce's Story),i360,1022915,N,F57.000003,201508209000923189,08/20/2015, 
 ,"Strickland, Ted",C90013285,AMERICANS FOR PROSPERITY,G,OH,00,S, ,"$54,421.02",08/18/2015,"$1,550,888.54",Oppose,digital placement (Bruce's Story),Facebook,1022915,N,F57.000004,201508209000923190,08/20/2015, 
 ,"Strickland, Ted",C90013285,AMERICANS FOR PROSPERITY,G,OH,00,S, ,"$39,283.54",08/18/2015,"$39,283.54",Oppose,creation & production of tv/digital ad (Bruce's Story),Sandler-Innocenzi,1022915,N,F57.000001,201508209000923189,08/20/2015, 
P00003392,"CLINTON, HILLARY RODHAM",C00542902,AMERICARISINGPAC.ORG,P,NV,00,P,Dem,"$9,500.00",10/13/2015,"$0.00",Oppose,DIGITAL PRODUCTION,POOLHOUSE,1028277,N,SE.8778,201510149002868005,10/14/2015, 
P00003392,"CLINTON, HILLARY RODHAM",C00542902,AMERICARISINGPAC.ORG,P, ,00,P,Dem,"$16,250.00",08/27/2015,"$28,651.10",Oppose,DIGITAL ADVERTISING,WERPOLITICS,1023539,N,SE.8768,201508279001584990,08/27/2015, 
P00003392,"CLINTON, HILLARY RODHAM",C00542902,AMERICARISINGPAC.ORG,P,NV,00,P,Dem,"$1,000.00",10/13/2015,"$0.00",Oppose,DIGITAL ADVERTISING,TARGETED VICTORY,1028277,N,SE.8780,201510149002868005,10/14/2015, 
P00003392,"CLINTON, HILLARY RODHAM",C00542902,AMERICARISINGPAC.ORG,P, ,00,P,Dem,"$2,000.00",08/14/2015,"$0.00",Oppose,ONLINE ADVERTISING,TARGETED VICTORY,1021643,N,SE.8765,201508169000830417,08/16/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P, ,00,P,Rep,"$741,030.00",07/24/2015,"$751,381.64",Support,Media Placement - Cable (National),Pinpoint Media LLC,1018436,N,SE.4644,201507289000437212,07/28/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P,NH,00,P,Rep,"$358,035.00",07/21/2015,"$822,670.00",Support,Media Placement - TV/Cable,Pinpoint Media LLC,1020255,A1,SE.4643,201508039000776490,08/03/2015,1018436
P60008521,"Christie, Christopher J.",C00573055,America Leads,P, ,00,P,Rep,"$810.11", ,"$6,399.05",Support,Digital Advertising - Twitter/Facebook,The Prosper Group Corporation,1020255,A1,SE.4691,201508039000776493,08/03/2015,1018436
P60008521,"Christie, Christopher J.",C00573055,America Leads,P, ,00,P,Rep,"$822.68", ,"$4,674.32",Support,Digital Advertising - Twitter/Facebook,The Prosper Group Corporation,1020255,A1,SE.4689,201508039000776492,08/03/2015,1018436
P60008521,"Christie, Christopher J.",C00573055,America Leads,P, ,00,P,Rep,"$914.62", ,"$5,588.94",Support,Digital Advertising - Twitter/Facebook,The Prosper Group Corporation,1020255,A1,SE.4690,201508039000776492,08/03/2015,1018436
P60008521,"Christie, Christopher J.",C00573055,America Leads,P, ,00,P,Rep,"$741,030.00",07/24/2015,"$755,770.84",Support,Media Placement - Cable (National),Pinpoint Media LLC,1020255,A1,SE.4644,201508039000776490,08/03/2015,1018436
P60008521,"Christie, Christopher J.",C00573055,America Leads,P,NH,00,P,Rep,"$267,547.50",07/28/2015,"$1,090,217.50",Support,Media Placement - TV/Cable,Pinpoint Media LLC,1020256,N,SE.4677,201508039000776494,08/03/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P, ,00,P,Rep,"$8.51", ,"$8,196.15",Support,Digital Advertising - Twitter/Facebook,The Prosper Group Corporation,1020256,N,SE.4703,201508039000776497,08/03/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P, ,00,P,Rep,"$22.17", ,"$8,240.84",Support,Digital Advertising - Facebook,The Prosper Group Corporation,1020256,N,SE.4705,201508039000776498,08/03/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P, ,00,P,Rep,"$22.52", ,"$8,218.67",Support,Digital Advertising - Facebook,The Prosper Group Corporation,1020256,N,SE.4704,201508039000776498,08/03/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P, ,00,P,Rep,"$194.31", ,"$8,187.64",Support,Digital Advertising - Twitter/Facebook,The Prosper Group Corporation,1020256,N,SE.4699,201508039000776497,08/03/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P, ,00,P,Rep,"$782.50", ,"$7,993.33",Support,Digital Advertising - Twitter/Facebook,The Prosper Group Corporation,1020256,N,SE.4698,201508039000776496,08/03/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P, ,00,P,Rep,"$811.78", ,"$7,210.83",Support,Digital Advertising - Twitter/Facebook,The Prosper Group Corporation,1020256,N,SE.4697,201508039000776496,08/03/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P, ,00,P,Rep,"$285,030.00",07/31/2015,"$1,040,800.84",Support,Media Placement - Cable (National),Pinpoint Media LLC,1020256,N,SE.4678,201508039000776494,08/03/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P,NH,00,P,Rep,"$740,172.50",09/09/2015,"$2,501,257.50",Support,Media Buy - TV/Cable,Pinpoint Media LLC,1024956,N,SE.4783,201509169002679258,09/16/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P, ,00,P,Rep,"$483.22", ,"$24,296.36",Support,Digital Advertising - Facebook/Google,The Prosper Group Corporation,1024956,N,SE.4984,201509169002679262,09/16/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P, ,00,P,Rep,"$546.93", ,"$23,256.70",Support,Digital Advertising - Facebook/Google,The Prosper Group Corporation,1024956,N,SE.4982,201509169002679261,09/16/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P, ,00,P,Rep,"$556.44", ,"$23,813.14",Support,Digital Advertising - Facebook/Google,The Prosper Group Corporation,1024956,N,SE.4983,201509169002679261,09/16/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P, ,00,P,Rep,"$727.98", ,"$22,709.77",Support,Digital Advertising - Facebook/Google/Twitter,The Prosper Group Corporation,1024956,N,SE.4981,201509169002679260,09/16/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P, ,00,P,Rep,"$749.65", ,"$21,981.79",Support,Digital Advertising - Facebook/Google/Twitter,The Prosper Group Corporation,1024956,N,SE.4980,201509169002679260,09/16/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P, ,00,P,Rep,"$911.43", ,"$21,232.14",Support,Digital Advertising - Facebook/Google/Twitter,The Prosper Group Corporation,1024956,N,SE.4979,201509169002679258,09/16/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P, ,00,P,Rep,"$772.30",11/02/2015,"$2,188,031.70",Support,Digital Advertising - Twitter,The Prosper Group Corporation,1034584,N,SE.5768,201512019004123351,12/01/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P, ,00,P,Rep,"$776.96",11/02/2015,"$2,188,808.66",Support,Digital Advertising - Twitter,The Prosper Group Corporation,1034584,N,SE.5769,201512019004123351,12/01/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P, ,00,P,Rep,"$859.20",11/02/2015,"$2,194,931.40",Support,Digital Advertising - Twitter,The Prosper Group Corporation,1034584,N,SE.5704,201512019004123345,12/01/2015, 
